"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Two or More Races","Male","Seattle Police Department","30","67.46","R","Active"
"White","Female","Seattle Public Utilities","36","62.76","R","Active"
"White","Male","Construction and Inspections","57","58.64","R","Active"
"White","Male","Finance and Administrative Service","66","61.00","R","Active"
"White","Male","Seattle Center","56","43.48","T","Active"
"White","Female","Parks and Recreation Department","35","35.72","R","Active"
"Black or African American","Female","Seattle Public Library","45","45.60","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","53","84.70","R","Active"
"Asian","Male","Construction and Inspections","61","83.24","R","Active"
"Asian","Female","Seattle City Light","57","63.26","R","Active"
"Two or More Races","Female","Seattle Police Department","36","68.43","R","Active"
"Black or African American","Male","Parks and Recreation Department","22","25.98","T","Active"
"Asian","Female","Seattle Public Library","41","34.48","R","Active"
"Asian","Female","Seattle City Light","49","81.93","R","Active"
"White","Male","Human Services","49","48.67","R","Active"
"Asian","Male","Seattle Police Department","28","66.48","R","Active"
"White","Female","Construction and Inspections","32","49.46","R","Active"
"White","Male","Seattle Police Department","46","68.43","R","Active"
"Black or African American","Male","Seattle City Light","30","67.30","R","Active"
"Black or African American","Male","Seattle City Light","43","77.36","R","Active"
"Asian","Female","Employees Retirement System","34","81.93","R","Active"
"White","Male","Seattle Police Department","58","67.46","R","Active"
"White","Male","Seattle City Light","36","73.49","R","Active"
"Black or African American","Male","Seattle Public Utilities","28","45.18","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","61","43.90","R","Active"
"Black or African American","Male","Seattle Public Utilities","44","42.97","R","Active"
"White","Female","Seattle Fire Department","43","57.35","R","Active"
"White","Female","Law Department","56","57.08","R","Active"
"Hispanic or Latino/a/x","Female","Finance and Administrative Service","55","64.37","R","Active"
"Asian","Male","Seattle Public Utilities","40","75.56","R","Active"
"White","Female","Finance and Administrative Service","31","53.27","R","Active"
"Black or African American","Male","Seattle Police Department","84","46.63","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","33","62.17","R","Active"
"Asian","Female","Seattle Public Library","35","34.48","R","Active"
"White","Male","Seattle Fire Department","55","59.38","R","Active"
"Two or More Races","Male","Seattle City Light","49","71.69","R","Active"
"White","Male","Seattle Fire Department","57","60.15","R","Active"
"White","Male","Seattle Department of Transportation","58","89.61","R","Active"
"Not Specified","Female","Parks and Recreation Department","24","25.98","T","Active"
"Asian","Male","Parks and Recreation Department","41","40.46","R","Active"
"White","Female","Education and Early Learning","55","76.41","R","Leave with Pay"
"Hispanic or Latino/a/x","Female","City Auditor's Office","40","79.18","R","Active"
"Black or African American","Female","Finance and Administrative Service","38","65.80","R","Active"
"Asian","Male","Seattle Police Department","36","62.17","R","Active"
"White","Male","Seattle Police Department","34","67.46","R","Active"
"Asian","Male","Seattle Police Department","30","49.96","R","Active"
"Black or African American","Male","Seattle Fire Department","54","57.28","R","Active"
"White","Female","Law Department","38","76.94","R","Active"
"American Indian or Alaska Native","Female","Parks and Recreation Department","37","53.74","R","Active"
"White","Female","Seattle Center","52","65.58","R","Active"
"White","Female","Construction and Inspections","52","80.13","R","Active"
"Not Specified","Male","Seattle Police Department","43","67.79","R","Active"
"White","Male","Seattle Public Library","54","33.03","R","Active"
"White","Male","Seattle Police Department","50","77.25","R","Active"
"White","Male","Seattle Fire Department","41","66.05","R","Active"
"White","Male","Seattle Police Department","46","69.09","R","Active"
"Black or African American","Male","Seattle City Light","37","44.92","R","Active"
"White","Female","Parks and Recreation Department","45","53.27","R","Active"
"White","Male","Seattle Fire Department","26","44.53","R","Active"
"Asian","Male","Seattle City Light","50","36.17","R","Active"
"Black or African American","Male","Finance and Administrative Service","37","28.02","R","Active"
"White","Female","Seattle Police Department","41","67.46","R","Active"
"White","Male","Seattle Police Department","51","67.46","R","Active"
"Hispanic or Latino/a/x","Male","Education and Early Learning","40","101.56","R","Active"
"White","Female","Seattle Department of Transportation","42","103.41","R","Active"
"White","Male","Seattle Fire Department","60","60.52","R","Active"
"White","Male","Seattle Fire Department","47","56.90","R","Active"
"Two or More Races","Female","Office of Labor Standards","42","43.18","R","Active"
"White","Male","Seattle Police Department","35","34.81","R","Active"
"White","Male","Seattle Department of Transportation","62","54.88","R","Active"
"Not Specified","Male","Seattle Police Department","38","68.43","R","Active"
"Two or More Races","Male","Seattle Fire Department","41","50.36","R","Active"
"White","Female","Seattle City Light","61","81.93","R","Active"
"Black or African American","Female","Human Services","57","60.71","R","Active"
"White","Male","Seattle Center","60","55.18","R","Active"
"Asian","Female","Seattle Public Library","60","32.83","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","61","77.63","R","Active"
"White","Female","Seattle Public Library","38","39.46","R","Active"
"Asian","Male","Construction and Inspections","55","76.02","R","Active"
"Asian","Male","Seattle Public Library","57","30.97","R","Active"
"Asian","Male","Seattle Fire Department","40","54.43","R","Active"
"Asian","Male","Seattle City Light","63","41.59","R","Active"
"White","Male","Mayor's Office","42","96.19","R","Active"
"White","Female","Seattle Public Utilities","51","42.96","R","Active"
"White","Male","Finance and Administrative Service","41","60.71","R","Active"
"White","Female","Parks and Recreation Department","59","40.00","R","Active"
"Two or More Races","Female","Seattle City Light","33","80.60","R","Active"
"White","Male","Human Services","52","48.67","R","Active"
"Asian","Female","Seattle Public Utilities","50","41.59","R","Active"
"Not Specified","Male","Seattle Police Department","25","55.81","R","Active"
"Black or African American","Male","Seattle City Light","53","62.15","R","Active"
"Two or More Races","Male","Seattle Police Department","44","76.13","R","Active"
"Not Specified","Male","Parks and Recreation Department","21","21.78","T","Active"
"Asian","Male","Seattle City Light","57","89.61","R","Active"
"Asian","Male","Seattle Public Utilities","49","68.00","T","Active"
"White","Female","Seattle Public Utilities","53","80.55","R","Active"
"Asian","Male","Seattle City Light","64","70.20","R","Active"
"Two or More Races","Male","Seattle City Light","48","62.07","R","Active"
"White","Female","Seattle Public Utilities","46","73.49","R","Active"
"White","Female","Seattle Department of Transportation","54","89.61","R","Active"
"Asian","Male","Seattle Department of Transportation","49","90.85","R","Active"
"Two or More Races","Female","Seattle Department of Transportation","35","53.27","R","Active"
"Asian","Female","Seattle Fire Department","54","43.09","R","Active"
"Asian","Male","Seattle Department of Transportation","60","73.27","R","Active"
"White","Male","Seattle Police Department","56","69.74","R","Active"
"Asian","Female","Parks and Recreation Department","52","25.98","T","Active"
"White","Male","Seattle Police Department","47","77.63","R","Active"
"Asian","Female","Seattle Public Library","46","45.60","R","Active"
"White","Female","Seattle Police Department","54","69.09","R","Active"
"American Indian or Alaska Native","Male","Seattle City Light","36","36.63","R","Active"
"White","Male","City Auditor's Office","69","109.16","R","Active"
"Two or More Races","Female","Police Relief and Pension","26","81.88","R","Active"
"Not Specified","Male","Seattle Public Utilities","33","60.23","R","Active"
"White","Male","Seattle Police Department","43","34.81","R","Active"
"White","Male","Seattle City Light","29","61.94","R","Active"
"Black or African American","Female","Seattle Public Utilities","41","43.36","R","Leave with Pay"
"Asian","Male","Parks and Recreation Department","53","33.13","R","Active"
"Black or African American","Female","Seattle City Light","59","52.45","R","Active"
"Black or African American","Male","Seattle Department of Transportation","70","68.14","R","Active"
"White","Female","Law Department","44","84.16","R","Active"
"White","Male","Seattle Fire Department","52","65.43","R","Active"
"White","Male","Parks and Recreation Department","64","41.54","R","Active"
"White","Female","Seattle Department of Transportation","47","67.91","R","Active"
"White","Male","Construction and Inspections","56","83.24","R","Active"
"Asian","Female","Information Technology","38","77.28","R","Leave with Pay"
"White","Female","Parks and Recreation Department","45","49.96","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","32","49.48","R","Active"
"White","Male","Seattle City Light","46","64.21","R","Active"
"White","Female","Seattle Police Department","27","57.11","R","Active"
"Asian","Male","Parks and Recreation Department","52","58.13","R","Active"
"White","Male","Civil Rights Office","44","56.75","R","Active"
"White","Female","Seattle Public Library","50","31.22","R","Active"
"White","Male","Seattle Public Utilities","30","45.18","R","Active"
"White","Male","Parks and Recreation Department","46","59.92","R","Active"
"Black or African American","Male","Parks and Recreation Department","53","36.63","R","Active"
"Black or African American","Female","Seattle Municipal Courts","40","43.84","R","Active"
"White","Female","Sustainability and Environment","55","89.61","R","Active"
"White","Female","Parks and Recreation Department","51","43.92","R","Active"
"White","Male","Construction and Inspections","42","58.85","R","Active"
"Asian","Male","Seattle Police Department","40","77.63","R","Active"
"White","Male","Seattle Center","60","43.48","T","Active"
"Black or African American","Male","Seattle Department of Transportation","46","45.64","R","Active"
"White","Female","Seattle Fire Department","48","57.89","R","Active"
"White","Male","Seattle City Light","39","66.00","R","Active"
"Black or African American","Female","Parks and Recreation Department","82","32.90","T","Active"
"White","Male","Seattle Center","31","43.48","T","Active"
"Asian","Male","Parks and Recreation Department","44","36.63","R","Active"
"White","Female","Education and Early Learning","60","63.08","R","Active"
"White","Male","Seattle Fire Department","43","52.45","R","Active"
"White","Female","Seattle Public Library","56","52.57","R","Leave with Pay"
"White","Male","Seattle Department of Transportation","41","63.13","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","56","63.26","R","Active"
"Black or African American","Male","Seattle Police Department","33","67.46","R","Active"
"White","Female","Seattle City Light","63","25.98","T","Active"
"Two or More Races","Female","Seattle Public Library","57","43.36","T","Active"
"White","Male","Seattle Public Utilities","70","34.70","T","Retired"
"White","Male","Parks and Recreation Department","67","50.23","T","Retired"
"White","Male","Seattle City Light","35","36.63","R","Active"
"White","Male","Seattle Center","68","43.48","T","Retired"
"White","Male","Seattle Public Library","47","45.60","R","Active"
"White","Male","Law Department","32","57.66","R","Active"
"White","Female","Seattle Department of Transportation","47","67.00","R","Active"
"Black or African American","Female","Construction and Inspections","67","49.46","R","Active"
"White","Male","Seattle Public Utilities","55","84.28","R","Active"
"White","Male","Seattle Department of Transportation","37","21.70","T","Active"
"Black or African American","Female","Mayor's Office","51","62.85","R","Active"
"Asian","Male","Information Technology","50","75.16","R","Active"
"Asian","Male","Information Technology","44","73.64","R","Active"
"White","Female","Seattle Fire Department","44","66.30","R","Active"
"White","Female","Human Services","60","54.02","T","Active"
"White","Male","Seattle City Light","41","48.41","R","Active"
"Asian","Male","Human Services","57","60.71","R","Leave with Pay"
"White","Male","Legislative Department","58","114.77","R","Active"
"Black or African American","Female","Finance and Administrative Service","59","54.02","R","Active"
"Asian","Male","Information Technology","41","75.29","R","Active"
"White","Female","Parks and Recreation Department","44","25.98","T","Active"
"White","Female","Intergovernmental Relations","29","74.05","R","Active"
"Asian","Female","Seattle Public Library","45","43.36","T","Active"
"Black or African American","Female","Employees Retirement System","61","34.80","R","Active"
"White","Female","Community Safety and Communication Center","36","60.21","R","Active"
"White","Male","Seattle Fire Department","37","56.90","R","Active"
"White","Male","Seattle Police Department","50","67.46","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Department of Transportation","45","36.63","R","Active"
"Not Specified","Male","Seattle City Light","58","81.93","R","Active"
"Not Specified","Male","Information Technology","53","71.65","R","Active"
"White","Male","Seattle Fire Department","56","55.91","R","Active"
"White","Male","Finance and Administrative Service","56","59.81","R","Active"
"White","Male","Seattle Fire Department","38","58.63","R","Active"
"White","Female","Finance and Administrative Service","34","68.42","R","Active"
"White","Male","Seattle Police Department","41","68.43","R","Active"
"Black or African American","Male","Parks and Recreation Department","45","32.90","T","Active"
"Asian","Male","Seattle Department of Transportation","24","51.74","R","Active"
"Black or African American","Male","Seattle Center","60","43.48","T","Active"
"Not Specified","Male","Seattle City Light","40","43.38","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","33","45.18","R","Leave with Pay"
"Black or African American","Male","Seattle Center","40","40.24","R","Active"
"Not Specified","Male","Seattle City Light","43","60.94","R","Leave with Pay"
"White","Male","Legislative Department","52","58.45","R","Active"
"Not Specified","Male","Seattle Department of Transportation","45","73.39","R","Active"
"American Indian or Alaska Native","Male","Seattle Department of Transportation","66","42.35","R","Active"
"White","Male","Seattle Department of Transportation","47","69.61","R","Active"
"Black or African American","Male","Seattle Police Department","52","100.72","R","Leave with Pay"
"Not Specified","Male","Seattle Public Library","26","39.46","R","Active"
"Asian","Male","Seattle City Light","42","62.15","R","Active"
"White","Male","Parks and Recreation Department","67","40.75","R","Active"
"Asian","Male","Seattle Municipal Courts","49","59.97","R","Active"
"White","Female","Seattle Police Department","42","67.79","R","Active"
"White","Male","Seattle Center","72","43.48","T","Active"
"White","Female","Seattle City Light","37","40.00","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","41","89.61","R","Active"
"White","Female","Seattle City Light","38","58.63","R","Active"
"White","Male","Seattle Public Library","37","45.60","R","Active"
"Black or African American","Male","Seattle Public Utilities","70","45.06","R","Leave with Pay"
"Asian","Male","Seattle Fire Department","45","52.94","R","Active"
"White","Female","Emergency Management Office","40","58.64","R","Active"
"White","Male","Seattle City Light","43","125.78","R","Active"
"Black or African American","Male","Parks and Recreation Department","30","25.98","T","Active"
"Black or African American","Male","Seattle Department of Transportation","59","115.04","R","Active"
"White","Male","Seattle Police Department","46","106.77","R","Active"
"White","Male","Seattle Fire Department","37","52.45","R","Active"
"White","Female","Finance and Administrative Service","63","63.26","R","Active"
"White","Female","Parks and Recreation Department","38","49.96","R","Active"
"White","Male","Community Safety and Communication Center","38","51.86","R","Active"
"White","Male","Parks and Recreation Department","40","74.77","R","Active"
"Two or More Races","Male","Seattle Public Utilities","57","46.60","R","Active"
"Black or African American","Male","Information Technology","77","73.06","R","Active"
"White","Male","Seattle Public Utilities","66","71.10","R","Active"
"White","Female","Seattle Center","62","33.13","T","Active"
"Asian","Male","Information Technology","50","80.58","R","Active"
"Asian","Male","Information Technology","41","70.64","R","Active"
"White","Female","Parks and Recreation Department","40","33.61","R","Active"
"White","Male","Seattle Public Utilities","53","42.55","R","Active"
"White","Male","Seattle Police Department","40","37.18","R","Active"
"White","Female","Seattle Department of Transportation","42","42.96","R","Active"
"White","Male","Housing Office","65","58.08","R","Leave Of Absence"
"Two or More Races","Female","Seattle City Light","45","77.36","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","33","21.70","R","Active"
"White","Female","Seattle Fire Department","45","52.94","R","Active"
"Asian","Female","Information Technology","52","79.38","R","Active"
"White","Female","Finance and Administrative Service","52","78.67","R","Active"
"White","Female","Parks and Recreation Department","66","34.32","T","Active"
"White","Male","Seattle City Light","53","77.36","R","Active"
"Two or More Races","Male","Seattle Public Utilities","62","42.97","R","Active"
"White","Male","Parks and Recreation Department","33","25.98","T","Active"
"White","Female","Seattle Public Utilities","47","66.46","R","Active"
"Black or African American","Male","Seattle Public Library","37","35.21","R","Active"
"Two or More Races","Male","Seattle Police Department","35","59.25","R","Active"
"White","Female","Seattle Public Utilities","60","42.09","R","Leave with Pay"
"White","Male","Seattle Police Department","39","77.63","R","Active"
"Asian","Male","Seattle Public Utilities","51","67.23","R","Active"
"Black or African American","Male","Parks and Recreation Department","25","25.98","T","Active"
"Black or African American","Male","Seattle Department of Transportation","52","49.79","R","Active"
"Black or African American","Male","Seattle Police Department","34","67.46","R","Active"
"Asian","Female","Seattle Public Library","45","34.48","R","Active"
"Asian","Male","Seattle Police Department","47","78.75","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","55","47.51","R","Active"
"White","Male","Seattle Police Department","45","68.43","R","Leave with Pay"
"White","Female","Seattle Police Department","28","41.59","R","Active"
"Asian","Male","Seattle Department of Transportation","55","70.20","R","Active"
"Asian","Male","Seattle City Light","47","94.84","R","Active"
"White","Male","Seattle Police Department","28","67.46","R","Active"
"White","Male","Seattle Police Department","59","67.46","R","Active"
"American Indian or Alaska Native","Male","Seattle Fire Department","58","52.94","R","Active"
"Two or More Races","Male","Human Resources","36","81.93","R","Active"
"White","Male","Seattle Police Department","30","67.46","R","Active"
"Asian","Male","Seattle Public Utilities","41","45.18","R","Active"
"White","Male","Seattle Department of Transportation","48","89.61","R","Active"
"White","Male","Seattle Public Utilities","54","42.55","R","Active"
"Asian","Male","Construction and Inspections","37","75.94","R","Active"
"Not Specified","Female","Seattle City Light","41","66.81","R","Active"
"Hispanic or Latino/a/x","Female","Office of the Inspector General for Public Safety","38","79.09","R","Active"
"Asian","Female","Seattle City Light","52","73.66","R","Leave with Pay"
"Not Specified","Male","Seattle Fire Department","38","52.45","R","Active"
"Black or African American","Male","Seattle Department of Transportation","61","67.91","R","Active"
"Black or African American","Male","Finance and Administrative Service","47","53.27","R","Active"
"White","Female","Parks and Recreation Department","61","36.63","R","Active"
"Black or African American","Male","Seattle Fire Department","26","44.53","R","Active"
"White","Male","Seattle Police Department","48","67.46","R","Active"
"White","Male","Seattle Fire Department","44","52.94","R","Active"
"White","Male","Information Technology","50","63.71","R","Active"
"Black or African American","Male","Parks and Recreation Department","59","40.75","R","Active"
"Black or African American","Male","Seattle Public Utilities","46","60.23","R","Active"
"Asian","Male","Seattle City Light","37","77.36","R","Active"
"White","Female","Seattle City Light","43","49.76","R","Active"
"Asian","Female","Parks and Recreation Department","49","25.00","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","34","42.06","R","Active"
"White","Male","Seattle Police Department","61","69.09","R","Active"
"Two or More Races","Female","Seattle Public Library","36","54.03","R","Leave with Pay"
"White","Male","Seattle Department of Transportation","61","90.85","R","Active"
"Hispanic or Latino/a/x","Female","Parks and Recreation Department","44","70.00","R","Active"
"White","Female","Seattle Police Department","40","72.02","R","Active"
"White","Male","Seattle Police Department","62","71.89","R","Active"
"Black or African American","Female","Construction and Inspections","34","42.96","R","Active"
"Asian","Female","Seattle Center","51","101.28","R","Active"
"White","Male","Seattle Fire Department","41","49.48","R","Active"
"White","Male","Seattle Police Department","43","67.46","R","Active"
"Asian","Male","Seattle Police Department","54","67.79","R","Active"
"Black or African American","Male","Seattle Police Department","49","87.24","R","Active"
"White","Female","Seattle Department of Transportation","47","58.64","R","Active"
"Asian","Female","Parks and Recreation Department","64","68.30","R","Active"
"Black or African American","Male","Parks and Recreation Department","35","36.63","R","Active"
"Two or More Races","Female","Information Technology","57","76.46","R","Active"
"Not Specified","Male","Seattle Public Utilities","60","68.37","R","Active"
"White","Male","Seattle Department of Transportation","54","46.63","R","Active"
"Hispanic or Latino/a/x","Male","Office of Economic Development and Special Events Office","30","56.32","R","Active"
"White","Female","Seattle Fire Department","31","51.96","R","Active"
"White","Female","Finance and Administrative Service","46","106.52","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","46","40.46","R","Active"
"Asian","Male","Seattle Public Library","26","31.22","R","Active"
"White","Female","Seattle City Light","44","81.93","R","Active"
"White","Male","Seattle Fire Department","60","55.42","R","Active"
"Black or African American","Female","Parks and Recreation Department","41","25.98","T","Active"
"White","Female","Seattle Fire Department","55","106.52","R","Active"
"Not Specified","Non-Specified","Seattle City Light","39","62.48","R","Active"
"White","Male","Construction and Inspections","48","64.19","R","Active"
"Two or More Races","Male","Finance and Administrative Service","36","37.57","R","Leave with Pay"
"Black or African American","Female","Seattle Department of Transportation","33","42.96","R","Leave with Pay"
"White","Male","Seattle Fire Department","43","49.48","R","Active"
"Not Specified","Non-Specified","Seattle Public Utilities","29","38.78","R","Active"
"White","Male","Construction and Inspections","70","64.36","R","Active"
"Black or African American","Male","Human Resources","46","69.95","R","Active"
"Two or More Races","Female","Human Services","45","48.67","R","Leave Of Absence"
"Two or More Races","Male","Seattle Police Department","36","48.16","R","Active"
"Asian","Female","Seattle Public Library","71","30.97","R","Active"
"White","Male","Seattle Fire Department","44","52.94","R","Active"
"Black or African American","Male","Finance and Administrative Service","46","46.63","R","Active"
"White","Male","Finance and Administrative Service","41","88.83","R","Leave with Pay"
"Black or African American","Female","Parks and Recreation Department","28","25.98","T","Active"
"Not Specified","Female","Seattle Police Department","59","39.87","R","Active"
"White","Female","Office of the Inspector General for Public Safety","58","57.00","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","31","31.66","R","Active"
"White","Male","Seattle Public Utilities","29","33.24","R","Leave with Pay"
"Not Specified","Male","Construction and Inspections","65","65.48","R","Active"
"White","Female","Parks and Recreation Department","26","32.31","T","Active"
"White","Male","Seattle Public Library","50","31.48","R","Active"
"Not Specified","Female","Seattle Municipal Courts","26","38.65","R","Active"
"Asian","Male","Seattle Public Library","54","32.28","R","Active"
"White","Male","Parks and Recreation Department","25","37.37","T","Active"
"Black or African American","Male","Seattle Public Library","67","32.28","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Library","42","49.34","R","Active"
"White","Male","Seattle Fire Department","43","52.94","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Public Library","40","57.14","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Library","41","49.34","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle City Light","67","77.36","R","Active"
"Not Specified","Female","Parks and Recreation Department","22","25.98","T","Active"
"Black or African American","Male","Parks and Recreation Department","77","43.36","R","Active"
"Two or More Races","Female","Parks and Recreation Department","19","25.98","T","Active"
"Two or More Races","Male","Parks and Recreation Department","19","25.98","T","Active"
"White","Female","Seattle Center","67","25.98","T","Active"
"Asian","Male","Seattle City Light","47","50.10","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Center","55","32.80","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Center","44","27.16","T","Active"
"Not Specified","Female","Information Technology","49","71.53","R","Active"
"White","Male","Seattle City Light","42","106.52","R","Active"
"Asian","Male","Finance and Administrative Service","29","51.57","R","Active"
"Not Specified","Male","Finance and Administrative Service","35","47.66","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Finance and Administrative Service","60","29.25","R","Active"
"Black or African American","Female","Finance and Administrative Service","63","59.81","R","Active"
"Asian","Male","Finance and Administrative Service","51","53.44","R","Active"
"Asian","Female","Seattle Center","51","25.98","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","39","68.14","R","Active"
"Black or African American","Male","Seattle City Light","33","39.05","R","Active"
"Asian","Female","Finance and Administrative Service","62","49.67","R","Active"
"Black or African American","Male","Seattle Center","74","25.98","T","Active"
"White","Male","Parks and Recreation Department","18","25.98","T","Active"
"White","Male","Information Technology","59","70.93","R","Active"
"White","Female","Seattle Police Department","62","38.27","R","Active"
"White","Female","Seattle Center","70","25.98","T","Active"
"Black or African American","Male","Construction and Inspections","31","54.10","R","Active"
"White","Male","Finance and Administrative Service","51","58.02","R","Leave with Pay"
"White","Female","Seattle City Light","38","81.93","R","Active"
"White","Female","Seattle Center","58","43.48","T","Active"
"White","Male","Parks and Recreation Department","18","25.98","T","Active"
"Black or African American","Female","Seattle Municipal Courts","34","40.78","R","Leave with Pay"
"Black or African American","Male","Seattle Center","67","30.86","T","Active"
"White","Male","Finance and Administrative Service","47","61.00","R","Active"
"Black or African American","Male","Civil Rights Office","27","46.63","R","Active"
"Asian","Male","Parks and Recreation Department","18","25.98","T","Active"
"White","Male","Parks and Recreation Department","19","25.98","T","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","20","25.98","T","Active"
"Asian","Male","Information Technology","39","57.26","R","Active"
"Two or More Races","Female","Employees Retirement System","39","69.74","R","Active"
"Two or More Races","Male","Seattle Public Utilities","29","47.79","R","Active"
"White","Male","Parks and Recreation Department","36","35.77","R","Active"
"Black or African American","Male","Parks and Recreation Department","21","25.98","T","Active"
"White","Female","Parks and Recreation Department","20","25.98","T","Active"
"White","Female","Seattle Public Library","37","52.57","R","Active"
"Not Specified","Male","Parks and Recreation Department","17","20.76","T","Active"
"Black or African American","Female","Seattle Police Department","74","49.46","R","Active"
"White","Female","Parks and Recreation Department","46","53.74","R","Leave with Pay"
"White","Male","Parks and Recreation Department","31","36.63","R","Active"
"White","Male","Office of Economic Development and Special Events Office","60","56.42","R","Active"
"Not Specified","Male","Parks and Recreation Department","16","20.76","T","Active"
"Two or More Races","Male","Seattle Police Department","32","66.48","R","Active"
"Asian","Male","Seattle Department of Transportation","40","90.85","R","Active"
"Asian","Male","Seattle Fire Department","42","42.06","R","Active"
"Asian","Female","Education and Early Learning","37","53.27","R","Active"
"Two or More Races","Female","Community Safety and Communication Center","35","49.93","R","Leave with Pay"
"White","Male","Seattle Department of Transportation","45","80.60","R","Active"
"Black or African American","Female","Parks and Recreation Department","29","25.98","T","Active"
"White","Male","Seattle Fire Department","55","58.04","R","Active"
"Black or African American","Female","Seattle Public Utilities","41","46.63","R","Active"
"Black or African American","Male","Seattle Fire Department","30","44.53","R","Active"
"Asian","Male","Finance and Administrative Service","61","97.25","R","Active"
"White","Female","Parks and Recreation Department","54","25.98","T","Active"
"White","Female","Seattle City Light","50","37.99","T","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","38","60.23","R","Active"
"Black or African American","Male","Seattle City Light","54","87.02","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","39","42.96","R","Active"
"White","Male","Human Services","44","41.49","R","Active"
"Asian","Male","Seattle Department of Transportation","25","29.72","T","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","43","36.63","R","Leave with Pay"
"White","Male","Parks and Recreation Department","60","63.26","R","Active"
"Two or More Races","Male","Seattle City Light","56","77.36","R","Active"
"White","Female","Planning and Community Office","62","53.27","R","Leave with Pay"
"Asian","Male","Seattle Public Utilities","52","49.21","R","Active"
"White","Male","Parks and Recreation Department","42","36.63","R","Active"
"Asian","Male","Human Services","34","41.36","R","Active"
"Asian","Male","Parks and Recreation Department","33","49.34","R","Active"
"Black or African American","Female","Sustainability and Environment","40","70.75","R","Active"
"Asian","Male","Information Technology","46","63.71","R","Active"
"White","Female","Seattle Department of Transportation","38","80.60","R","Active"
"Asian","Male","Construction and Inspections","36","41.59","R","Active"
"Black or African American","Male","Seattle Public Utilities","49","69.68","R","Active"
"White","Male","Information Technology","61","79.88","R","Active"
"White","Female","Parks and Recreation Department","56","82.32","R","Active"
"Black or African American","Male","Seattle Public Utilities","56","54.02","R","Active"
"Asian","Female","Seattle Department of Transportation","45","45.54","R","Active"
"Not Specified","Male","Seattle City Light","52","80.64","R","Active"
"White","Male","Seattle City Light","66","67.91","R","Active"
"White","Female","Seattle Police Department","49","67.46","R","Leave with Pay"
"White","Male","Parks and Recreation Department","36","37.49","R","Active"
"White","Male","Seattle City Light","45","81.48","R","Active"
"Asian","Male","Seattle Public Utilities","45","73.73","R","Active"
"White","Male","Information Technology","50","80.58","R","Active"
"White","Male","Parks and Recreation Department","42","57.01","R","Active"
"Black or African American","Female","Seattle Public Utilities","26","49.46","R","Active"
"White","Female","Seattle Public Utilities","60","65.67","R","Active"
"Asian","Female","Information Technology","42","76.32","R","Active"
"White","Female","Seattle Public Library","44","43.36","T","Active"
"White","Female","Seattle Public Library","44","52.57","R","Leave with Pay"
"Black or African American","Male","Seattle Department of Transportation","56","36.63","R","Active"
"Asian","Female","Seattle Center","31","49.46","R","Leave with Pay"
"White","Male","Construction and Inspections","56","83.24","R","Active"
"White","Male","Parks and Recreation Department","48","61.62","R","Active"
"White","Male","Parks and Recreation Department","40","64.43","R","Active"
"White","Male","Seattle Fire Department","43","52.45","R","Active"
"Black or African American","Female","Office of Labor Standards","63","39.87","R","Active"
"Asian","Female","Seattle Police Department","52","51.29","R","Active"
"White","Male","Seattle Fire Department","53","81.93","R","Active"
"White","Male","Seattle Police Department","36","68.43","R","Active"
"White","Female","Seattle City Light","34","63.18","R","Leave with Pay"
"White","Female","Community Safety and Communication Center","46","60.59","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","42","43.85","R","Active"
"Not Specified","Male","Construction and Inspections","48","59.81","R","Active"
"White","Male","Information Technology","50","88.16","R","Active"
"White","Male","Sustainability and Environment","41","68.47","R","Active"
